# Simulation 1 (Up to date)
# 1236 data points written for 16 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-1.876e-5,-0.019,-9.378,0,0,0,0,45,0,9.806,90.566,0,0,0,0.006
0.004,-1.704e-5,-0.017,-8.521,0,0,0,0,45,0,9.806,90.512,0,0,0,0.006
0.006,-1.533e-5,-0.015,-7.665,0,0,0,0,45,0,9.806,90.459,0,0,0,0.006
0.008,-1.362e-5,-0.014,-6.808,0,0,0,0,45,0,9.806,90.407,0,0,0,0.006
0.01,-1.19e-5,-0.012,-5.952,0,0,0,0,45,0,9.806,90.354,0,0,0,0.006
0.012,-1.019e-5,-0.01,-5.095,0,0,0,0,45,0,9.806,90.302,0,0,0,0.006
0.014,-8.477e-6,-0.008,-4.238,0,0,0,0,45,0,9.806,90.25,0,0,0,0.006
0.016,-6.764e-6,-0.007,-3.382,0,0,0,0,45,0,9.806,90.199,0,0,0,0.006
0.018,-5.05e-6,-0.005,-2.525,0,0,0,0,45,0,9.806,90.148,0,0,0,0.006
0.02,-3.337e-6,-0.003,-1.668,0,0,0,0,45,0,9.806,90.098,0,0,0,0.006
0.022,-1.623e-6,-0.002,-0.812,0,0,0,0,45,0,9.806,90.047,0,0,0,0.006
0.024,9.038e-8,9.043e-5,0.045,0,0,0,0,45,0,9.806,89.997,0,0,0,0.006
0.026,2.075e-6,0.002,0.902,0,0,0,0,45,0,9.806,89.945,0,0,0,0.006
0.028,9.382e-6,0.005,1.759,0,0,0,0,45,0,9.806,89.844,0,0,0,0.006
0.03,2.544e-5,0.011,2.616,0,0,0,0,45,0,9.806,89.694,0,0,0,0.006
0.032,5.39e-5,0.018,3.589,0,0,0,0,45,0,9.806,89.489,0,0,0,0.006
0.034,1.001e-4,0.028,5.261,0,0,0,0,45,0,9.806,89.19,0,0,0,0.006
0.036,1.708e-4,0.042,7.048,0,0,0,0,45,0,9.806,88.791,0,0,0,0.006
0.038,2.734e-4,0.06,8.836,0,0,0,0,45,0,9.806,88.294,0,0,0,0.006
0.04,4.148e-4,0.081,10.624,0,0,0,0,45,0,9.806,87.699,0,0,0,0.006
0.042,6.024e-4,0.106,12.413,0,0,0,0,45,0,9.806,87.007,0,0,0,0.006
0.044,8.431e-4,0.135,14.202,0,0,0,0,45,0,9.806,86.221,0,0,0,0.006
0.046,0.001,0.167,15.992,0,0,0,0,45,0,9.806,85.341,0,0,0,0.006
0.048,0.002,0.202,17.781,0,0,0,0,45,0,9.806,84.371,0,0,0,0.006
0.05,0.002,0.241,19.571,0,0,0,0,45,0,9.806,83.311,0,0,0,0.006
0.052,0.002,0.284,21.362,0,0,0,0,45,0,9.806,82.141,0,0,0,0.006
0.054,0.003,0.33,23.153,0,0,0,0,45,0,9.806,80.879,0,0,0,0.006
0.056,0.004,0.38,24.944,0,0,0,0,45,0,9.806,79.531,0,0,0,0.006
0.058,0.005,0.434,26.735,0,0,0,0,45,0,9.806,78.098,0,0,0,0.006
0.06,0.006,0.491,28.527,0,0,0,0,45,0,9.806,76.586,0,0,0,0.006
0.062,0.007,0.551,30.319,0,0,0,0,45,0,9.806,75,0,0,0,0.006
0.064,0.008,0.616,32.111,0,0,0,0,45,0,9.806,73.346,0,0,0,0.006
0.066,0.009,0.683,33.904,0,0,0,0,45,0,9.806,71.63,0,0,0,0.006
0.068,0.01,0.755,35.697,0,0,0,0,45,0,9.806,69.859,0,0,0,0.006
0.07,0.012,0.83,37.49,0,0,0,0,45,0,9.806,68.041,0,0,0,0.007
0.072,0.014,0.908,39.283,0,0,0,0,45,0,9.806,66.186,0,0,0,0.007
0.074,0.016,0.99,41.077,0,0,0,0,45,0,9.806,64.301,0,0,0,0.007
0.076,0.018,1.076,42.871,0,0,0,0,45,0,9.806,62.395,0,0,0,0.007
# Event LIFTOFF occurred at t=0.078 seconds
0.078,0.02,1.165,44.665,0,0,0,0,45,0,9.806,60.478,0,0,0,0.007
0.08,0.022,1.258,46.46,0,0,0,0,45,0,9.806,58.559,0,0,0,0.007
0.082,0.025,1.355,48.254,0,0,0,0,45,0,9.806,56.645,0,0,0,0.007
0.084,0.028,1.455,50.049,0,0,0,0,45,0,9.806,54.745,0,0,0,0.007
0.086,0.031,1.559,51.844,0,0,0,0,45,0,9.806,52.867,0,0,0,0.008
0.088,0.034,1.666,53.639,0,0,0,0,45,0,9.806,51.017,0,0,0,0.008
0.09,0.038,1.777,55.435,0,0,0,0,45,0,9.806,49.202,0,0,0,0.008
0.092,0.041,1.891,57.23,0,0,0,0,45,0,9.806,47.427,0,0,0,0.008
0.094,0.045,2.011,59.672,0,0,0,0,45,0,9.806,45.678,0,0,0,0.008
0.096,0.049,2.136,62.75,0,0,0,0,45,0,9.806,43.945,0,0,0,0.009
0.098,0.054,2.268,65.829,0,0,0,0,45,0,9.806,42.237,0,0,0,0.009
0.1,0.058,2.406,68.91,0,0,0,0,45,0,9.806,40.561,0,0,0,0.009
0.102,0.063,2.549,71.992,0,0,0,0,45,0,9.806,38.933,0,0,0,0.01
0.104,0.069,2.7,75.075,0,0,0,0,45,0,9.806,37.35,0,0,0,0.01
0.106,0.074,2.856,78.16,0,0,0,0,45,0,9.806,35.816,0,0,0,0.01
0.108,0.08,3.018,81.245,0,0,0,0,45,0,9.806,34.334,0,0,0,0.011
0.11,0.086,3.187,84.332,0,0,0,0,45,0,9.806,32.907,0,0,0,0.011
0.112,0.093,3.362,87.42,0,0,0,0,45,0,9.806,31.536,0,0,0,0.012
0.114,0.1,3.543,90.51,0,0,0,0,45,0,9.806,30.221,0,0,0,0.012
0.116,0.107,3.73,93.6,0,0,0,0,45,0,9.806,28.962,0,0,0,0.013
0.118,0.115,3.923,96.691,0,0,0,0,45,0,9.806,27.76,0,0,0,0.013
0.12,0.123,4.123,99.784,0,0,0,0,45,0,9.806,26.612,0,0,0,0.014
0.122,0.131,4.329,102.878,0,0,0,0,45,0,9.806,25.519,0,0,0,0.014
0.124,0.14,4.541,105.973,0,0,0,0,45,0,9.806,24.477,0,0,0,0.015
0.126,0.149,4.759,109.069,0,0,0,0,45,0,9.806,23.486,0,0,0,0.015
0.128,0.159,4.983,112.167,0,0,0,0,45,0,9.806,22.543,0,0,0,0.016
0.13,0.169,5.214,115.265,0,0,0,0,45,0,9.806,21.647,0,0,0,0.016
0.132,0.18,5.45,118.365,0,0,0,0,45,0,9.806,20.795,0,0,0,0.017
0.134,0.191,5.693,121.465,0,0,0,0,45,0,9.806,19.985,0,0,0,0.018
0.136,0.203,5.942,124.567,0,0,0,0,45,0,9.806,19.216,0,0,0,0.018
0.138,0.215,6.198,127.67,0,0,0,0,45,0,9.806,18.485,0,0,0,0.019
0.14,0.227,6.459,130.677,0,0,0,0,45,0,9.806,17.79,0,0,0,0.02
0.142,0.241,6.725,133.053,0,0,0,0,45,0,9.806,17.134,0,0,0,0.021
0.144,0.254,6.996,135.323,0,0,0,0,45,0,9.806,16.513,0,0,0,0.021
0.146,0.269,7.271,137.594,0,0,0,0,45,0,9.806,15.925,0,0,0,0.022
0.148,0.283,7.55,139.867,0,0,0,0,45,0,9.806,15.368,0,0,0,0.023
0.15,0.299,7.835,142.141,0,0,0,0,45,0,9.806,14.84,0,0,0,0.024
0.152,0.315,8.123,144.417,0,0,0,0,45,0,9.806,14.326,0,0,0,0.025
0.154,0.331,8.417,146.694,0,0,0,0,45,0,9.806,13.839,0,0,0,0.025
0.156,0.348,8.715,148.973,0,0,0,0,45,0,9.806,13.375,0,0,0,0.026
0.158,0.366,9.017,151.253,0,0,0,0,45,0,9.806,12.934,0,0,0,0.027
0.16,0.384,9.324,153.535,0,0,0,0,45,0,9.806,12.514,0,0,0,0.028
0.162,0.403,9.636,155.818,0,0,0,0,45,0,9.806,12.115,0,0,0,0.029
0.164,0.423,9.952,158.103,0,0,0,0,45,0,9.806,11.734,0,0,0,0.03
0.166,0.443,10.273,160.389,0,0,0,0,45,0,9.806,11.37,0,0,0,0.031
0.168,0.464,10.598,162.676,0,0,0,0,45,0,9.806,11.023,0,0,0,0.032
0.17,0.486,10.928,164.964,0,0,0,0,45,0,9.806,10.692,0,0,0,0.033
0.172,0.508,11.262,167.254,0,0,0,0,45,0,9.806,10.375,0,0,0,0.034
